location_name,period,delta_observed,delta_trend,delta_weather
Ahmedabad,FY 2020-2021 to FY 2023-2024,-19.639092126947716,-8.623322001464487,-11.015770125483229
Amritsar,FY 2020-2021 to FY 2023-2024,10.30144319619616,6.717648689869961,3.5837945063262
Asanol,FY 2020-2021 to FY 2023-2024,-6.0518542569726606,0.5830416325002261,-6.634895889472887
Aurangabad,FY 2020-2021 to FY 2023-2024,34.11067965759224,30.2281578766096,3.8825217809826427
Bangalore,FY 2020-2021 to FY 2023-2024,8.511387671677262,5.148318313682708,3.3630693579945543
Bhopal,FY 2020-2021 to FY 2023-2024,1.2846913951558179,-3.401383192942049,4.686074588097867
Chandigarh,FY 2020-2021 to FY 2023-2024,38.79239973412233,35.124220972998444,3.668178761123883
Chandrapur,FY 2020-2021 to FY 2023-2024,3.5239700292296874,6.317025231015776,-2.793055201786089
Delhi,FY 2020-2021 to FY 2023-2024,6.8556016493633365,7.779420691097755,-0.9238190417344185
Dewas,FY 2020-2021 to FY 2023-2024,12.118571546880545,9.270265179039413,2.8483063678411327
Faridabad,FY 2020-2021 to FY 2023-2024,-35.48013664714165,-28.767401276662923,-6.712735370478725
Gaya,FY 2020-2021 to FY 2023-2024,32.68638218009305,29.34146386395571,3.3449183161373384
Ghaziabad,FY 2020-2021 to FY 2023-2024,-52.16636501213745,-46.28885955737752,-5.877505454759927
Guwahati,FY 2020-2021 to FY 2023-2024,3.2213340686779475,9.716710792426667,-6.49537672374872
Gwalior,FY 2020-2021 to FY 2023-2024,7.931975802494549,4.126657418212929,3.8053183842816196
Howrah,FY 2020-2021 to FY 2023-2024,-11.807910348951438,-8.918701100550933,-2.8892092484005047
Hyderabad,FY 2020-2021 to FY 2023-2024,-5.017551113964132,-5.83681166679078,0.8192605528266483
Indore,FY 2020-2021 to FY 2023-2024,-2.358502008928511,-0.9758273556783905,-1.3826746532501204
Jabalpur,FY 2020-2021 to FY 2023-2024,-20.883095426561823,-14.453042203535887,-6.430053223025936
Jaipur,FY 2020-2021 to FY 2023-2024,25.035319416127805,25.467200449137593,-0.43188103300978753
Jalandhar,FY 2020-2021 to FY 2023-2024,2.995443817466608,3.6875210027873777,-0.6920771853207697
Jodhpur,FY 2020-2021 to FY 2023-2024,-24.861475203623144,-17.955598743944023,-6.905876459679121
Khanna,FY 2020-2021 to FY 2023-2024,-4.372767567186287,-3.4187408873542893,-0.9540266798319976
Kolkata,FY 2020-2021 to FY 2023-2024,-11.48225770398983,-12.050571433359067,0.5683137293692369
Kota,FY 2020-2021 to FY 2023-2024,28.25025471804483,27.648673283670234,0.6015814343745944
Meerut,FY 2020-2021 to FY 2023-2024,-51.75031929499784,-33.84249335158975,-17.907825943408085
Mumbai,FY 2020-2021 to FY 2023-2024,-3.1470915972594042,0.9690990195695548,-4.116190616828959
Nagpur,FY 2020-2021 to FY 2023-2024,42.56229324618096,35.93982469905247,6.622468547128484
Nashik,FY 2020-2021 to FY 2023-2024,19.331958910240473,15.32311732416396,4.008841586076514
Navi Mumbai,FY 2020-2021 to FY 2023-2024,7.168618205353397,16.29108469717147,-9.122466491818074
Noida,FY 2020-2021 to FY 2023-2024,-13.973699699949009,-15.244230079228203,1.2705303792791938
Patiala,FY 2020-2021 to FY 2023-2024,-8.470836966164924,-4.914372847344225,-3.556464118820699
Patna,FY 2020-2021 to FY 2023-2024,64.11423448443625,63.13462491561853,0.9796095688177218
Rajamahendravaram,FY 2020-2021 to FY 2023-2024,5.521891785082943,1.530842811176754,3.9910489739061887
Talcher,FY 2020-2021 to FY 2023-2024,12.979789740448794,13.079841165287903,-0.10005142483910845
Thane,FY 2020-2021 to FY 2023-2024,-13.328893371745508,-1.607281285660079,-11.721612086085429
Udaipur,FY 2020-2021 to FY 2023-2024,12.892686289723045,17.15623092491188,-4.263544635188836
Visakhapatnam,FY 2020-2021 to FY 2023-2024,16.73308284292311,13.977917671454222,2.7551651714688887
